種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,70000000.0,4199999.0,55.0,1272727.0,平成29年,3.0,2017.0,2020
中古マンション等,明石町,48000000.0,4525714.0,35.0,1371428.0,平成29年,3.0,2017.0,2020
中古マンション等,明石町,81000000.0,4454999.0,60.0,1350000.0,平成16年,16.0,2004.0,2020
中古マンション等,明石町,88000000.0,5279999.0,55.0,1600000.0,平成30年,2.0,2018.0,2020
中古マンション等,明石町,53000000.0,3497999.0,50.0,1060000.0,平成24年,8.0,2012.0,2020
中古マンション等,入船,24000000.0,3960000.0,20.0,1200000.0,平成15年,17.0,2003.0,2020
中古マンション等,入船,24000000.0,3960000.0,20.0,1200000.0,平成14年,18.0,2002.0,2020
中古マンション等,入船,26000000.0,4290000.0,20.0,1300000.0,平成18年,14.0,2006.0,2020
中古マンション等,入船,24000000.0,3960000.0,20.0,1200000.0,平成15年,17.0,2003.0,2020
中古マンション等,入船,58000000.0,2944615.0,65.0,892307.0,平成15年,17.0,2003.0,2020
中古マンション等,入船,24000000.0,3960000.0,20.0,1200000.0,平成16年,16.0,2004.0,2020
中古マンション等,入船,26000000.0,3431999.0,25.0,1040000.0,平成12年,20.0,2000.0,2020
中古マンション等,入船,8000000.0,2640000.0,10.0,800000.0,昭和57年,38.0,1982.0,2020
中古マンション等,入船,16000000.0,1759999.0,30.0,533333.0,昭和57年,38.0,1982.0,2020
中古マンション等,入船,27000000.0,2969999.0,30.0,900000.0,昭和57年,38.0,1982.0,2020
中古マンション等,入船,25000000.0,4125000.0,20.0,1250000.0,平成15年,17.0,2003.0,2020
中古マンション等,入船,25000000.0,3299999.0,25.0,1000000.0,平成10年,22.0,1998.0,2020
中古マンション等,入船,27000000.0,4455000.0,20.0,1350000.0,平成12年,20.0,2000.0,2020
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成15年,17.0,2003.0,2020
中古マンション等,入船,19000000.0,2089999.0,30.0,633333.0,昭和57年,38.0,1982.0,2020
中古マンション等,入船,26000000.0,4290000.0,20.0,1300000.0,平成12年,20.0,2000.0,2020
中古マンション等,入船,13000000.0,2859999.0,15.0,866666.0,昭和57年,38.0,1982.0,2020
中古マンション等,入船,25000000.0,4125000.0,20.0,1250000.0,平成15年,17.0,2003.0,2020
中古マンション等,勝どき,92000000.0,3373333.0,90.0,1022222.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,140000000.0,3422222.0,135.0,1037037.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,72000000.0,4319999.0,55.0,1309090.0,平成22年,10.0,2010.0,2020
中古マンション等,勝どき,130000000.0,4515789.0,95.0,1368421.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,25000000.0,4125000.0,20.0,1250000.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,75000000.0,3299999.0,75.0,1000000.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,22000000.0,3630000.0,20.0,1100000.0,平成14年,18.0,2002.0,2020
中古マンション等,勝どき,25000000.0,4125000.0,20.0,1250000.0,平成14年,18.0,2002.0,2020
中古マンション等,勝どき,86000000.0,3547500.0,80.0,1075000.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,110000000.0,3024999.0,120.0,916666.0,平成12年,20.0,2000.0,2020
中古マンション等,勝どき,35000000.0,3299999.0,35.0,1000000.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,79000000.0,3258750.0,80.0,987500.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,74000000.0,3052500.0,80.0,925000.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,15000000.0,2475000.0,20.0,750000.0,昭和56年,39.0,1981.0,2020
中古マンション等,勝どき,34000000.0,2493333.0,45.0,755555.0,昭和50年,45.0,1975.0,2020
中古マンション等,勝どき,66000000.0,3111428.0,70.0,942857.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,47000000.0,2584999.0,60.0,783333.0,平成12年,20.0,2000.0,2020
中古マンション等,勝どき,51000000.0,4207500.0,40.0,1275000.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,85000000.0,3506250.0,80.0,1062500.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,21000000.0,1732500.0,40.0,525000.0,昭和46年,49.0,1971.0,2020
中古マンション等,勝どき,71000000.0,3347142.0,70.0,1014285.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,47000000.0,3446666.0,45.0,1044444.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,43000000.0,2364999.0,60.0,716666.0,平成14年,18.0,2002.0,2020
中古マンション等,勝どき,60000000.0,3959999.0,50.0,1200000.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,35000000.0,2887500.0,40.0,875000.0,平成19年,13.0,2007.0,2020
中古マンション等,勝どき,74000000.0,3488571.0,70.0,1057142.0,平成26年,6.0,2014.0,2020
中古マンション等,勝どき,52000000.0,3431999.0,50.0,1040000.0,平成26年,6.0,2014.0,2020
中古マンション等,勝どき,65000000.0,3064285.0,70.0,928571.0,平成20年,12.0,2008.0,2020
