地区名,取引件数,,,,
勝どき        ,1198,,,,
晴海         ,888,,,,
日本橋浜町      ,646,,,,
築地         ,599,,,,
新川         ,563,,,,
佃          ,523,,,,
月島         ,514,,,,
東日本橋       ,478,,,,
日本橋蛎殻町     ,474,,,,
日本橋箱崎町     ,307,,,,
銀座         ,275,,,,
八丁堀        ,251,,,,
湊          ,237,,,,
入船         ,236,,,,
日本橋人形町     ,222,,,,
日本橋堀留町     ,190,,,,
日本橋中洲      ,183,,,,
日本橋大伝馬町    ,165,,,,
新富         ,124,,,,
日本橋馬喰町     ,113,,,,
日本橋兜町      ,99,,,,
日本橋茅場町     ,98,,,,
日本橋小舟町     ,81,,,,
日本橋小網町     ,76,,,,
明石町        ,66,,,,
日本橋富沢町     ,64,,,,
日本橋本町      ,54,,,,
日本橋小伝馬町    ,52,,,,
日本橋久松町     ,32,,,,
日本橋        ,30,,,,
京橋         ,21,,,,
日本橋室町      ,10,,,,
日本橋横山町     ,6,,,,
豊海町        ,5,,,,
