,種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
3385,中古マンション等,京橋,20000000.0,3300000.0,20.0,1000000.0,平成16年,9.0,2004.0,2013.0
5266,中古マンション等,京橋,24000000.0,3960000.0,20.0,1200000.0,平成16年,12.0,2004.0,2016.0
5265,中古マンション等,京橋,29000000.0,4785000.0,20.0,1450000.0,平成16年,12.0,2004.0,2016.0
3386,中古マンション等,京橋,19000000.0,3135000.0,20.0,950000.0,平成16年,9.0,2004.0,2013.0
3387,中古マンション等,京橋,21000000.0,3465000.0,20.0,1050000.0,平成16年,9.0,2004.0,2013.0
6740,中古マンション等,京橋,26000000.0,4290000.0,20.0,1300000.0,平成16年,14.0,2004.0,2018.0
2481,中古マンション等,京橋,17000000.0,2805000.0,20.0,850000.0,平成16年,7.0,2004.0,2011.0
1910,中古マンション等,京橋,19000000.0,3135000.0,20.0,950000.0,平成16年,6.0,2004.0,2010.0
2480,中古マンション等,京橋,18000000.0,2970000.0,20.0,900000.0,平成16年,7.0,2004.0,2011.0
7410,中古マンション等,京橋,28000000.0,4620000.0,20.0,1400000.0,平成16年,15.0,2004.0,2019.0
4635,中古マンション等,京橋,24000000.0,3960000.0,20.0,1200000.0,平成16年,11.0,2004.0,2015.0
2898,中古マンション等,京橋,18000000.0,2970000.0,20.0,900000.0,平成16年,8.0,2004.0,2012.0
2897,中古マンション等,京橋,18000000.0,2970000.0,20.0,900000.0,平成16年,8.0,2004.0,2012.0
7412,中古マンション等,京橋,27000000.0,4455000.0,20.0,1350000.0,平成16年,15.0,2004.0,2019.0
162,中古マンション等,京橋,19000000.0,3135000.0,20.0,950000.0,平成16年,2.0,2004.0,2006.0
7411,中古マンション等,京橋,27000000.0,4455000.0,20.0,1350000.0,平成16年,15.0,2004.0,2019.0
5446,中古マンション等,佃,21000000.0,3465000.0,20.0,1050000.0,平成18年,10.0,2006.0,2016.0
5447,中古マンション等,佃,87000000.0,3377647.0,85.0,1023529.0,平成16年,12.0,2004.0,2016.0
5437,中古マンション等,佃,22000000.0,3630000.0,20.0,1100000.0,平成18年,10.0,2006.0,2016.0
5448,中古マンション等,佃,65000000.0,3299999.0,65.0,1000000.0,平成16年,12.0,2004.0,2016.0
5445,中古マンション等,佃,22000000.0,3630000.0,20.0,1100000.0,平成16年,12.0,2004.0,2016.0
5435,中古マンション等,佃,42000000.0,2519999.0,55.0,763636.0,平成3年,25.0,1991.0,2016.0
5449,中古マンション等,佃,67000000.0,4019999.0,55.0,1218181.0,平成16年,12.0,2004.0,2016.0
5450,中古マンション等,佃,25000000.0,4125000.0,20.0,1250000.0,平成16年,12.0,2004.0,2016.0
5451,中古マンション等,佃,18000000.0,2970000.0,20.0,900000.0,平成18年,10.0,2006.0,2016.0
8394,中古マンション等,佃,64000000.0,2815999.0,75.0,853333.0,平成3年,29.0,1991.0,2020.0
5436,中古マンション等,佃,80000000.0,3771428.0,70.0,1142857.0,平成11年,17.0,1999.0,2016.0
5439,中古マンション等,佃,53000000.0,3179999.0,55.0,963636.0,平成17年,11.0,2005.0,2016.0
5440,中古マンション等,佃,84000000.0,3695999.0,75.0,1120000.0,平成16年,12.0,2004.0,2016.0
5441,中古マンション等,佃,21000000.0,3465000.0,20.0,1050000.0,平成15年,13.0,2003.0,2016.0
5442,中古マンション等,佃,31000000.0,2922857.0,35.0,885714.0,平成18年,10.0,2006.0,2016.0
5443,中古マンション等,佃,35000000.0,2887500.0,40.0,875000.0,平成16年,12.0,2004.0,2016.0
5444,中古マンション等,佃,41000000.0,3006666.0,45.0,911111.0,平成16年,12.0,2004.0,2016.0
5434,中古マンション等,佃,38000000.0,3135000.0,40.0,950000.0,平成27年,1.0,2015.0,2016.0
8387,中古マンション等,佃,24000000.0,3960000.0,20.0,1200000.0,平成16年,16.0,2004.0,2020.0
8388,中古マンション等,佃,57000000.0,3134999.0,60.0,950000.0,平成16年,16.0,2004.0,2020.0
8389,中古マンション等,佃,67000000.0,3401538.0,65.0,1030769.0,平成16年,16.0,2004.0,2020.0
8390,中古マンション等,佃,86000000.0,4366153.0,65.0,1323076.0,平成11年,21.0,1999.0,2020.0
8391,中古マンション等,佃,80000000.0,3519999.0,75.0,1066666.0,平成16年,16.0,2004.0,2020.0
8392,中古マンション等,佃,65000000.0,3574999.0,60.0,1083333.0,平成5年,27.0,1993.0,2020.0
8393,中古マンション等,佃,50000000.0,2749999.0,60.0,833333.0,平成5年,27.0,1993.0,2020.0
5438,中古マンション等,佃,32000000.0,4223999.0,25.0,1280000.0,平成25年,3.0,2013.0,2016.0
5433,中古マンション等,佃,60000000.0,3299999.0,60.0,1000000.0,平成16年,12.0,2004.0,2016.0
5429,中古マンション等,佃,95000000.0,3688235.0,85.0,1117647.0,平成11年,17.0,1999.0,2016.0
5431,中古マンション等,佃,110000000.0,4270588.0,85.0,1294117.0,平成11年,17.0,1999.0,2016.0
4240,中古マンション等,佃,86000000.0,3153333.0,90.0,955555.0,平成16年,10.0,2004.0,2014.0
4239,中古マンション等,佃,14000000.0,1847999.0,25.0,560000.0,昭和48年,41.0,1973.0,2014.0
4238,中古マンション等,佃,57000000.0,2893846.0,65.0,876923.0,平成16年,10.0,2004.0,2014.0
4237,中古マンション等,佃,49000000.0,2939999.0,55.0,890909.0,平成14年,12.0,2002.0,2014.0
4236,中古マンション等,佃,68000000.0,2991999.0,75.0,906666.0,平成17年,9.0,2005.0,2014.0
4235,中古マンション等,佃,130000000.0,3730434.0,115.0,1130434.0,平成11年,15.0,1999.0,2014.0
4234,中古マンション等,佃,57000000.0,2507999.0,75.0,760000.0,平成3年,23.0,1991.0,2014.0
4233,中古マンション等,佃,73000000.0,3211999.0,75.0,973333.0,平成17年,9.0,2005.0,2014.0
4232,中古マンション等,佃,9800000.0,1293599.0,25.0,392000.0,昭和48年,41.0,1973.0,2014.0
4231,中古マンション等,佃,69000000.0,3252857.0,70.0,985714.0,平成11年,15.0,1999.0,2014.0
4230,中古マンション等,佃,49000000.0,3233999.0,50.0,980000.0,平成11年,15.0,1999.0,2014.0
4229,中古マンション等,佃,50000000.0,3299999.0,50.0,1000000.0,平成11年,15.0,1999.0,2014.0
4228,中古マンション等,佃,180000000.0,4949999.0,120.0,1500000.0,平成11年,15.0,1999.0,2014.0
5432,中古マンション等,佃,35000000.0,4619999.0,25.0,1400000.0,平成28年,0.0,2016.0,2016.0
4227,中古マンション等,佃,33000000.0,2419999.0,45.0,733333.0,平成9年,17.0,1997.0,2014.0
4225,中古マンション等,佃,110000000.0,3821052.0,95.0,1157894.0,平成17年,9.0,2005.0,2014.0
4224,中古マンション等,佃,110000000.0,4270588.0,85.0,1294117.0,平成11年,15.0,1999.0,2014.0
5420,中古マンション等,佃,55000000.0,3629999.0,50.0,1100000.0,平成23年,5.0,2011.0,2016.0
5421,中古マンション等,佃,50000000.0,2999999.0,55.0,909090.0,平成14年,14.0,2002.0,2016.0
5422,中古マンション等,佃,68000000.0,2991999.0,75.0,906666.0,平成14年,14.0,2002.0,2016.0
